OBJECTID;Id da Instalação;Nome;Id Agente Principal;Agente Principal;Data Prevista;Data Prevista;Data Entrada;Data Entrada,x,y
1;;;;;;;;,-50.283333003999985,-29.95833300099997
2;;;;;;;;,-50.30000000399997,-29.92500000499996
3;;;;;;;;,-50.25213900199998,-29.953500002999988
4;;;;;;;;,-50.255306004999966,-29.98097200799998
5;;;;;;;;,-41.12041700599997,-9.882667004999973
6;;;;;;;;,-41.105167000999984,-9.890722006999965
7;;;;;;;;,-41.08952800199995,-9.853306003
8;;;;;;;;,-42.35105900499997,-12.31240100499997
9;;;;;;;;,-42.36258300399999,-12.278482005
10;;;;;;;;,-42.338520004999964,-12.35121799999996
11;;;;;;;;,-40.27089770099997,-2.8145029019999583
12;;;;;;;;,-39.960349805999954,-2.8610725030000026
13;;;;;;;;,-50.19835600299996,-21.213686005
14;;;;;;;;,-39.67868360099999,-3.019179999999949
15;;;;;;;;,-50.28867350499996,-29.963401601999976
16;;;;;;;;,-50.28043600199999,-29.92819700499996
17;;;;;;;;,-50.31274700199998,-29.955006003999983
18;RNCPD;SUB CABECO PRETO II                                RN       ;AGT;GESTAMP EOLICA AGRESTE SA                                      ;27/02/2017;28/02/2017;18/11/2016;19/11/2016,-35.98544400199995,-5.475721999999962
19;GOPEM;SUB PARQUE DAS EMAS                                GO       ;CLG;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A                  ;;;01/06/2000;02/06/2000,-52.478889003000006,-17.41222200599998
20;MGUSI1;SUB USIMINAS                                       MG       ;USM;USINAS SIDERURGICAS DE MINAS GERAIS S/A  - USIMINAS            ;;;01/06/2000;02/06/2000,-42.54984980099999,-19.484922103999963
21;BAUPR;SUB UTE PROSPERIDADE                               BA       ;IME;IMETAME ENERGIA LTDA                                           ;30/01/2018;31/01/2018;15/10/2018;16/10/2018,-38.207200005999994,-12.499200001999952
22;;;;;;;;,-37.64808800099996,-4.587970003999999
23;;;;;;;;,-36.9375,-5.016667000999973
24;;;;;;;;,-48.808222204,-22.53849440099998
25;ACCS  ;SUB CRUZEIRO DO SUL                                AC       ;ASP;TRANSMISSORA ACRE SPE S.A.                                     ;29/11/2024;30/11/2024;15/12/2024;16/12/2024,-72.63900600399995,-7.721061005999957
26;ACFJ  ;SUB FEIJO                                          AC       ;ASP;TRANSMISSORA ACRE SPE S.A.                                     ;19/03/2025;20/03/2025;31/05/2023;01/06/2023,-70.26066100599996,-8.30615000499995
27;ACRB  ;SUB RIO BRANCO 1                                   AC       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;30/12/1990;31/12/1990,-67.729444005,-10.01083300299996
28;ALART ;SUB ARAPIRACA III                                  AL       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;28/06/2013;29/06/2013;08/06/2013;09/06/2013,-36.65173100699997,-9.784325003999982
29;ALMCD ;SUB MACEIO II                                      AL       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/01/2019;31/01/2019;16/02/2019;17/02/2019,-35.73770800199998,-9.53098900599997
30;ALMCO ;SUB MACEIO                                         AL       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-35.786666706000005,-9.57761110399997
